Sol,Filename,SCLCK,LTST,Ls_deg_,Comment,RMS_20_60,RMS_100_1000,Gustiness,MeanPressure,SD_Pressure,MeanTemp1,MeanTemp2,MeanTemp3,MeanCleanWS,MeanCleanWD,SD_CleanWS,SD_CleanWD,Incident_WD,GroundTemperature,TurbulentHeatFlux,Downwelling Flux
349,LS_SFX_TBED_0697936908_01______________________ARD2_TESTB_15U0_01.mat,697936181.645,16:47:08,173.251,360 turn,0.0061438499599353,0.0003184351160601,,622.694516129032,0.0393140101980181,258.303225806452,249.753870967742,249.933870967742,,,,,,246.946671,,26.837
349,LS_SFX_TBED_0697936908_01______________________ARD2_TESTB_15U0_010.mat,697936451.645,16:51:31,173.251,360 turn,0.0182905677751911,0.003563524852448,,622.769032258064,0.0415816336627671,257.725483870968,250.314516129032,250.011612903226,,,,,,246.946671,,26.837
349,LS_SFX_TBED_0697936908_01______________________ARD2_TESTB_15U0_011.mat,697936481.645,16:52:00,173.251,360 turn,0.0136904353928067,0.0014103050975409,,622.726451612903,0.0582264766291491,257.58935483871,250.436774193548,249.846451612903,,,,,,246.946671,,26.837
349,LS_SFX_TBED_0697936908_01______________________ARD2_TESTB_15U0_012.mat,697936511.645,16:52:29,173.251,360 turn,0.048478734879316,0.0206829664000545,,622.716451612903,0.0419164555671311,257.543870967742,251.976451612903,251.111612903226,,,,,,246.946671,,26.837
349,LS_SFX_TBED_0697936908_01______________________ARD2_TESTB_15U0_013.mat,697936541.645,16:52:58,173.251,360 turn,0.028963922088799,0.0146688795462664,,622.730967741936,0.0490139326252938,257.397419354839,250.281612903226,249.994193548387,,,,,,246.946671,,26.837
349,LS_SFX_TBED_0697936908_01______________________ARD2_TESTB_15U0_014.mat,697936571.645,16:53:28,173.251,360 turn,0.0154633625802452,0.0050016686181848,,622.683548387097,0.0519325451649783,257.178064516129,249.26935483871,249.031612903226,,,,,,246.946671,,26.837
349,LS_SFX_TBED_0697936908_01______________________ARD2_TESTB_15U0_015.mat,697936601.645,16:53:57,173.251,360 turn,0.0040237263061431,0.0002256678799871,,622.682580645161,0.0351157839093906,257.064516129032,251.28935483871,250.823870967742,,,,,,239.835983,,26.837
349,LS_SFX_TBED_0697936908_01______________________ARD2_TESTB_15U0_02.mat,697936211.645,16:47:37,173.251,360 turn,0.0018938700335721,0.0001865540859912,,622.717096774194,0.041888228130516,258.303548387097,250.645161290323,250.397096774194,,,,,,246.946671,,26.837
349,LS_SFX_TBED_0697936908_01______________________ARD2_TESTB_15U0_03.mat,697936241.645,16:48:06,173.251,360 turn,0.0156068565243656,0.0037579065059271,,622.707096774193,0.0605636606328117,258.357096774194,250.71,250.618709677419,,,,,,246.946671,,26.837
349,LS_SFX_TBED_0697936908_01______________________ARD2_TESTB_15U0_04.mat,697936271.645,16:48:36,173.251,360 turn,0.0213425411051101,0.0198867333557196,,622.628387096774,0.0274586688428764,258.572258064516,253.511290322581,253.031935483871,,,,,,246.946671,,26.837
