LT(hr),Amp(Pa)
11.813,0.3
12.007,0.303
13.441,0.326
13.497,0.458
13.497,0.459
13.65,0.327
13.65,0.309
13.892,0.588
13.892,0.588
13.962,0.325
14.242,0.331
14.242,0.335
14.344,0.305
3.264,0.353
3.264,0.35
12.396,0.366
12.683,0.326
13.262,0.306
14.528,0.685
14.528,0.715
10.059,0.308
12.517,0.367
12.607,0.594
12.766,0.61
12.903,0.317
13.342,0.347
13.783,0.506
13.921,0.301
13.979,0.813
14.114,0.592
16.425,0.941
10.528,0.335
11.56,0.377
12.363,1.572
15.486,0.337
12.41,0.517
12.539,0.305
12.578,0.41
12.85,0.39
12.949,0.34
13.19,0.564
13.281,0.542
13.358,0.324
13.407,0.319
13.864,0.379
13.997,0.602
14.086,0.301
14.138,0.34
14.293,0.334
14.33,0.336
11.132,0.532
11.717,0.515
11.855,0.382
11.908,0.337
12.061,0.409
12.143,0.715
15.461,0.313
15.836,0.305
16.059,0.364
19.006,0.397
9.149,0.32
9.503,0.545
9.951,0.453
10.352,0.332
12.744,0.686
12.986,0.705
13.25,0.502
13.401,0.512
13.714,0.377
13.849,0.341
11.13,0.906
11.393,0.339
11.506,0.984
12.001,0.488
12.265,0.642
12.324,0.403
14.839,0.314
15.798,0.352
9.396,0.31
12.406,0.357
12.623,0.363
12.699,0.333
12.879,0.369
12.915,0.377
13.026,0.315
13.074,0.314
13.236,0.659
13.795,0.36
13.978,0.344
10.581,0.528
11.063,1.95
11.094,0.352
11.148,1.238
11.29,0.325
11.355,0.346
12.124,0.646
14.704,0.305
9.946,0.501
12.406,0.437
12.47,0.373
13.326,0.523
13.36,0.492
14.148,1.896
10.615,0.761
10.756,0.794
10.91,0.61
11.549,0.506
11.745,0.365
11.967,0.315
12.24,0.694
14.753,1.714
15.111,0.301
15.137,0.323
10.524,0.353
10.92,0.867
10.963,0.385
11.106,0.319
11.209,0.444
11.229,0.354
11.657,0.34
12.426,0.424
14.557,1.485
15.092,2.778
15.66,0.481
15.714,0.307
19.532,0.351
19.58,0.32
20.205,0.301
10.357,0.366
12.568,0.321
12.604,0.46
13.158,0.306
13.863,0.533
10.526,0.789
12.25,0.562
8.706,0.446
12.374,0.655
12.542,0.421
12.545,0.521
12.644,0.329
12.789,0.466
13.009,0.417
13.191,0.348
13.449,0.513
13.578,0.416
13.616,0.411
14.397,0.333
16.516,0.306
10.936,0.364
11.47,0.344
11.879,0.547
12.374,0.507
14.746,0.34
14.907,0.587
15.029,0.318
15.186,0.515
